Uni_Code,IFC_code
Pr_20,IfcStructuralItem
Pr_20_29,IfcFastener
Pr_20_29_03,IfcReinforcingBar.ANCHORING
Pr_20_29_03_04,IfcReinforcingBar.ANCHORING
Pr_20_29_03_05,IfcReinforcingBar.ANCHORING
Pr_20_29_03_10,IfcDiscreteAccessory.ANCHORPLATE
Pr_20_29_03_11,IfcMechanicalFastener.ANCHORBOLT
Pr_20_29_03_12,IfcMechanicalFastener.ANCHORBOLT
Pr_20_29_03_13,IfcPlate.BASE_PLATE
Pr_20_29_03_15,IfcDiscreteAccessory.ANCHORPLATE
Pr_20_29_03_18,IfcReinforcingBar.ANCHORING
Pr_20_29_03_28,IfcReinforcingBar.ANCHORING
Pr_20_29_03_30,IfcBearing.DISK
Pr_20_29_03_31,IfcReinforcingBar.ANCHORING
Pr_20_29_03_32,IfcFastener
Pr_20_29_03_33,IfcDiscreteAccessory.ANCHORPLATE
Pr_20_29_03_34,IfcDiscreteAccessory.ANCHORPLATE
Pr_20_29_03_35,IfcMechanicalFastener.ANCHORBOLT
Pr_20_29_03_36,IfcFastener
Pr_20_29_03_47,IfcReinforcingBar.ANCHORING
Pr_20_29_03_48,IfcTransportElement.LIFTINGGEAR
Pr_20_29_03_66,IfcReinforcingBar.ANCHORING
Pr_20_29_03_72,IfcMechanicalFastener.BOLT
Pr_20_29_03_73,IfcMechanicalFastener.DOWEL
Pr_20_29_03_77,IfcMechanicalFastener.ANCHORBOLT
Pr_20_29_03_79,IfcReinforcingBar.RING
Pr_20_29_03_82,IfcDiscreteAccessory.ANCHORPLATE
Pr_20_29_03_83,IfcMechanicalFastener.ANCHORBOLT
Pr_20_29_03_84,IfcMechanicalFastener.ANCHORBOLT
Pr_20_29_03_86,IfcReinforcingBar.ANCHORING
Pr_20_29_03_88,IfcMechanicalFastener.ANCHORBOLT
Pr_20_29_03_92,IfcReinforcingBar.ANCHORING
Pr_20_29_03_97,IfcReinforcingBar.ANCHORING
Pr_20_29_04,IfcFastener
Pr_20_29_04_26,IfcFastener
Pr_20_29_04_27,IfcMechanicalFastener
Pr_20_29_08,IfcMechanicalFastener.BOLT
Pr_20_29_08_04,IfcMechanicalFastener.ANCHORBOLT
Pr_20_29_08_07,IfcMechanicalFastener.BOLT
Pr_20_29_08_08,IfcMechanicalFastener.BOLT
Pr_20_29_08_11,IfcMechanicalFastener.BOLT
Pr_20_29_08_12,IfcMechanicalFastener.ANCHORBOLT
Pr_20_29_08_15,IfcMechanicalFastener.BOLT
Pr_20_29_08_18,IfcMechanicalFastener.BOLT
Pr_20_29_08_26,IfcTransportElement.ELEVATOR
Pr_20_29_08_27,IfcMechanicalFastener.BOLT
Pr_20_29_08_28,IfcMechanicalFastener.BOLT
Pr_20_29_08_30,IfcMechanicalFastener.ANCHORBOLT
Pr_20_29_08_32,IfcMechanicalFastener.BOLT
Pr_20_29_08_36,IfcMechanicalFastener.ANCHORBOLT
Pr_20_29_08_38,IfcMechanicalFastener.BOLT
Pr_20_29_08_42,IfcMechanicalFastener.BOLT
Pr_20_29_08_46,IfcMechanicalFastener.BOLT
Pr_20_29_08_57,IfcPipeSegment.GUTTER
Pr_20_29_08_66,IfcElementAssembly.RAIL_MECHANICAL_EQUIPMENT_ASSEMBLY
Pr_20_29_08_70,IfcDiscreteAccessory.RAILBRACE
Pr_20_29_08_76,IfcWall.SHEAR
Pr_20_29_08_78,IfcRoadPart.SHOULDER
Pr_20_29_08_83,IfcPipeSegment.GUTTER
Pr_20_29_08_84,IfcMechanicalFastener.BOLT
Pr_20_29_08_85,IfcMechanicalFastener.ANCHORBOLT
Pr_20_29_08_86,IfcMember.STUD
Pr_20_29_08_92,IfcMechanicalFastener.BOLT
Pr_20_29_10,IfcMember.SUSPENSION_CABLE
Pr_20_29_10_11,IfcDistributionPort.CABLE
Pr_20_29_10_12,IfcMember.STRUCTURALCABLE
Pr_20_29_10_13,IfcMechanicalFastener.COUPLER
Pr_20_29_10_14,IfcMember.STRUCTURALCABLE
Pr_20_29_10_21,IfcDamper
Pr_20_29_10_79,IfcDiscreteAccessory.RAILBRACE
Pr_20_29_14_07,IfcBeam
Pr_20_29_14_08,IfcBeam
Pr_20_29_14_13,IfcPump.CIRCULATOR
Pr_20_29_14_14,IfcCovering.CLADDING
Pr_20_29_14_15,IfcMechanicalFastener.COUPLER
Pr_20_29_14_16,IfcPipeSegment
Pr_20_29_14_22,IfcBridgePart.DECK
Pr_20_29_14_24,IfcPipeSegment
Pr_20_29_14_28,IfcRailing.FENCE
Pr_20_29_14_29,IfcRailing.FENCE
Pr_20_29_14_30,IfcRailing.FENCE
Pr_20_29_14_31,IfcCovering.FLOORING
Pr_20_29_14_36,IfcBeam.GIRDER_SEGMENT
Pr_20_29_14_65,IfcDistributionPort.PIPE
Pr_20_29_14_68,IfcUnitaryControlElement.MIMICPANEL
Pr_20_29_14_90,IfcBridge.TRUSS
Pr_20_29_23,IfcMechanicalFastener.DOWEL
Pr_20_29_23_11,IfcMechanicalFastener.DOWEL
Pr_20_29_23_22,IfcMechanicalFastener.DOWEL
Pr_20_29_23_23,IfcFastener
Pr_20_29_23_30,IfcMechanicalFastener.DOWEL
Pr_20_29_23_36,IfcMechanicalFastener.DOWEL
Pr_20_29_23_40,IfcFastener.WELD
Pr_20_29_23_50,IfcMechanicalFastener.DOWEL
Pr_20_29_23_52,IfcMechanicalFastener.DOWEL
Pr_20_29_23_80,IfcMechanicalFastener.DOWEL
Pr_20_29_23_83,IfcMechanicalFastener.DOWEL
Pr_20_29_23_92,IfcCableCarrierFitting.CONNECTOR
Pr_20_29_29_23,IfcMechanicalFastener.DOWEL
Pr_20_29_29_62,IfcPile
Pr_20_29_29_66,IfcMember.STRUCTURALCABLE
Pr_20_29_30_11,IfcCableFitting
Pr_20_29_31,IfcMechanicalFastener
Pr_20_29_31_03,IfcMechanicalFastener.NAILPLATE
Pr_20_29_31_08,IfcCableCarrierFitting.CONNECTOR
Pr_20_29_31_12,IfcMechanicalFastener.NAILPLATE
Pr_20_29_31_13,IfcMechanicalFastener
Pr_20_29_31_44,IfcBeam.JOIST
Pr_20_29_31_84,IfcMechanicalFastener.NAILPLATE
Pr_20_29_31_85,IfcMechanicalFastener
Pr_20_29_34,IfcDiscreteAccessory.ANCHORPLATE
Pr_20_29_34_34,IfcPlate.SPLICE_PLATE
Pr_20_29_34_35,IfcPlate
Pr_20_29_34_86,IfcCableCarrierFitting.CONNECTOR
Pr_20_29_40,IfcCovering.INSULATION
Pr_20_29_40_12,IfcCovering.INSULATION
Pr_20_29_40_30,IfcCovering.INSULATION
Pr_20_29_40_73,IfcCovering.INSULATION
Pr_20_29_40_96,IfcCovering.INSULATION
Pr_20_29_56,IfcMechanicalFastener.NAIL
Pr_20_29_56_02,IfcMechanicalFastener.NAIL
Pr_20_29_56_03,IfcMechanicalFastener.NAIL
Pr_20_29_56_11,IfcMechanicalFastener.NAIL
Pr_20_29_56_14,IfcMechanicalFastener.NAILPLATE
Pr_20_29_56_15,IfcMechanicalFastener.NAIL
Pr_20_29_56_16,IfcFastener
Pr_20_29_56_19,IfcMechanicalFastener.NAIL
Pr_20_29_56_20,IfcEarthworksCut.CUT
Pr_20_29_56_36,IfcMechanicalFastener.NAILPLATE
Pr_20_29_56_38,IfcMechanicalFastener.NAIL
Pr_20_29_56_48,IfcMechanicalFastener.NAIL
Pr_20_29_56_50,IfcMechanicalFastener.NAIL
Pr_20_29_56_59,IfcMechanicalFastener.NAILPLATE
Pr_20_29_56_60,IfcSystemFurnitureElement.PANEL
Pr_20_29_56_65,IfcMechanicalFastener.NAIL
Pr_20_29_56_78,IfcMechanicalFastener.NAIL
Pr_20_29_56_82,IfcPipeSegment.SPOOL
Pr_20_29_56_83,IfcMechanicalFastener.NAILPLATE
Pr_20_29_56_84,IfcMechanicalFastener.NAIL
Pr_20_29_56_85,IfcMechanicalFastener.NAIL
Pr_20_29_56_86,IfcMechanicalFastener.STAPLE
Pr_20_29_56_93,IfcMechanicalFastener.NAIL
