,IFC,raw
0,actuator,IfcActuator
1,alarm,IfcAlarm
2,controller,IfcController
3,flow  instrument,IfcFlowInstrument
4,sensor,IfcSensor
5,unitary control  element,IfcUnitaryControlElement
6,construction equipment  resource,IfcConstructionEquipmentResource
7,construction material  resource,IfcConstructionMaterialResource
8,construction  resource,IfcConstructionResource
9,labor  resource,IfcLaborResource
10,audio visual  appliance,IfcAudioVisualAppliance
11,cable carrier  fitting,IfcCableCarrierFitting
12,cable carrier  segment,IfcCableCarrierSegment
13,cable  fitting,IfcCableFitting
14,cable  segment,IfcCableSegment
15,communications  appliance,IfcCommunicationsAppliance
16,distribution  board,IfcDistributionBoard
17,electric  appliance,IfcElectricAppliance
18,electric distribution  board,IfcElectricDistributionBoard
19,electric flow storage  device,IfcElectricFlowStorageDevice
20,electric flow treatment  device,IfcElectricFlowTreatmentDevice
21,electric  generator,IfcElectricGenerator
22,electric  motor,IfcElectricMotor
23,electric time  control,IfcElectricTimeControl
24,junction  box,IfcJunctionBox
25,lamp,IfcLamp
26,light  fixture,IfcLightFixture
27,mobile telecommunications  appliance,IfcMobileTelecommunicationsAppliance
28,motor  connection,IfcMotorConnection
29,outlet,IfcOutlet
30,protective  device,IfcProtectiveDevice
31,protective device tripping  unit,IfcProtectiveDeviceTrippingUnit
32,solar  device,IfcSolarDevice
33,switching  device,IfcSwitchingDevice
34,transformer,IfcTransformer
35,air  terminal,IfcAirTerminal
36,air terminal  box,IfcAirTerminalBox
37,air to air heat  recovery,IfcAirToAirHeatRecovery
38,boiler,IfcBoiler
39,burner,IfcBurner
40,chiller,IfcChiller
41,coil,IfcCoil
42,compressor,IfcCompressor
43,condenser,IfcCondenser
44,cooled  beam,IfcCooledBeam
45,cooling  tower,IfcCoolingTower
46,damper,IfcDamper
47,duct  fitting,IfcDuctFitting
48,duct  segment,IfcDuctSegment
49,duct  silencer,IfcDuctSilencer
50,engine,IfcEngine
51,evaporative  cooler,IfcEvaporativeCooler
52,evap orator,IfcEvaporator
53,fan,IfcFan
54,filter,IfcFilter
55,flow  meter,IfcFlowMeter
56,heat  exchanger,IfcHeatExchanger
57,humidif ier,IfcHumidifier
58,medical  device,IfcMedicalDevice
59,pipe  fitting,IfcPipeFitting
60,pipe  segment,IfcPipeSegment
61,pump,IfcPump
62,space  heater,IfcSpaceHeater
63,tank,IfcTank
64,tube  bundle,IfcTubeBundle
65,unitary  equipment,IfcUnitaryEquipment
66,valve,IfcValve
67,vibration isola tor,IfcVibrationIsolator
68,actor,IfcActor
69,context,IfcContext
70,control,IfcControl
71,group,IfcGroup
72,object,IfcObject
73,object  definition,IfcObjectDefinition
74,process,IfcProcess
75,product,IfcProduct
76,project,IfcProject
77,resource,IfcResource
78,root,IfcRoot
79,material,IfcMaterial
80,material  definition,IfcMaterialDefinition
81,fire suppression  terminal,IfcFireSuppressionTerminal
82,interceptor,IfcInterceptor
83,sanitary  terminal,IfcSanitaryTerminal
84,stack  terminal,IfcStackTerminal
85,waste  terminal,IfcWasteTerminal
86,conveyor  segment,IfcConveyorSegment
87,liquid  terminal,IfcLiquidTerminal
88,marine  facility,IfcMarineFacility
89,marine  part,IfcMarinePart
90,mooring  device,IfcMooringDevice
91,navigation  element,IfcNavigationElement
92,task,IfcTask
93,work  control,IfcWorkControl
94,alignment,IfcAlignment
95,alignment  cant,IfcAlignmentCant
96,alignment  horizontal,IfcAlignmentHorizontal
97,alignment  segment,IfcAlignmentSegment
98,alignment  vertical,IfcAlignmentVertical
99,annotation,IfcAnnotation
100,bridge,IfcBridge
101,bridge  part,IfcBridgePart
102,building,IfcBuilding
103,building  storey,IfcBuildingStorey
104,built  element,IfcBuiltElement
105,built  system,IfcBuiltSystem
106,civil  element,IfcCivilElement
107,distribution  element,IfcDistributionElement
108,element,IfcElement
109,element  assembly,IfcElementAssembly
110,external spatial  element,IfcExternalSpatialElement
111,external spatial structure  element,IfcExternalSpatialStructureElement
112,facility,IfcFacility
113,facility  part,IfcFacilityPart
114,facility part  common,IfcFacilityPartCommon
115,feature  element,IfcFeatureElement
116,feature element  addition,IfcFeatureElementAddition
117,feature element  subtraction,IfcFeatureElementSubtraction
118,furnishing  element,IfcFurnishingElement
119,geographic  element,IfcGeographicElement
120,grid,IfcGrid
121,impact protection  device,IfcImpactProtectionDevice
122,linear  element,IfcLinearElement
123,linear positioning  element,IfcLinearPositioningElement
124,opening  element,IfcOpeningElement
125,port,IfcPort
126,positioning  element,IfcPositioningElement
127,projection  element,IfcProjectionElement
128,referent,IfcReferent
129,site,IfcSite
130,space,IfcSpace
131,spatial  element,IfcSpatialElement
132,spatial structure  element,IfcSpatialStructureElement
133,spatial  zone,IfcSpatialZone
134,system,IfcSystem
135,transportation  device,IfcTransportationDevice
136,transport  element,IfcTransportElement
137,vehicle,IfcVehicle
