Uni_Code,MF_code
Pr_20,13 30 00
Pr_20_29,34 11 36.13
Pr_20_29_03,31 51 00
Pr_20_29_03_04,31 51 00
Pr_20_29_03_05,31 51 00
Pr_20_29_03_10,31 51 16
Pr_20_29_03_11,05 17 00
Pr_20_29_03_13,06 71 00
Pr_20_29_03_14,32 31 26.13
Pr_20_29_03_15,04 05 19.29
Pr_20_29_03_18,04 05 19.29
Pr_20_29_03_28,31 51 00
Pr_20_29_03_30,46 21 46
Pr_20_29_03_31,31 68 00
Pr_20_29_03_32,06 11 00
Pr_20_29_03_33,31 51 13
Pr_20_29_03_34,05 05 19
Pr_20_29_03_35,31 51 13
Pr_20_29_03_36,34 11 36.13
Pr_20_29_03_44,11 67 53.23
Pr_20_29_03_47,31 51 16
Pr_20_29_03_48,14 40 00
Pr_20_29_03_66,31 51 00
Pr_20_29_03_72,31 33 13
Pr_20_29_03_73,31 51 16
Pr_20_29_03_77,31 51 00
Pr_20_29_03_79,28 05 41.11
Pr_20_29_03_80,05 05 19
Pr_20_29_03_81,34 11 33.13
Pr_20_29_03_82,08 12 19
Pr_20_29_03_83,05 15 19
Pr_20_29_03_84,05 15 19
Pr_20_29_03_86,04 05 19.16
Pr_20_29_03_88,31 51 00
Pr_20_29_03_92,31 51 00
Pr_20_29_03_97,31 51 00
Pr_20_29_04,34 11 36.13
Pr_20_29_04_26,40 05 65.11
Pr_20_29_04_27,11 98 16
Pr_20_29_08,08 79 00
Pr_20_29_08_04,31 51 00
Pr_20_29_08_08,41 42 13
Pr_20_29_08_12,43 41 11
Pr_20_29_08_18,34 11 33.13
Pr_20_29_08_26,14 20 00
Pr_20_29_08_28,07 71 29
Pr_20_29_08_30,35 79 13.13
Pr_20_29_08_32,43 41 11
Pr_20_29_08_36,26 05 29
Pr_20_29_08_38,33 05 05.18
Pr_20_29_08_46,31 72 16
Pr_20_29_08_57,07 71 23
Pr_20_29_08_70,10 11 23.33
Pr_20_29_08_76,41 32 59
Pr_20_29_08_78,41 22 13.13
Pr_20_29_08_83,07 71 23
Pr_20_29_08_85,05 15 19
Pr_20_29_08_86,05 41 00
Pr_20_29_08_92,43 41 11
Pr_20_29_10,34 23 16
Pr_20_29_10_11,27 05 44
Pr_20_29_10_12,34 14 00
Pr_20_29_10_13,28 05 41.13
Pr_20_29_10_14,05 15 16
Pr_20_29_10_15,05 56 00
Pr_20_29_10_16,13 28 26
Pr_20_29_10_21,23 33 13
Pr_20_29_10_79,41 23 13
Pr_20_29_14,41 23 13
Pr_20_29_14_03,08 12 16
Pr_20_29_14_07,41 23 13
Pr_20_29_14_08,14 81 13
Pr_20_29_14_14,07 05 43
Pr_20_29_14_15,40 05 89.33
Pr_20_29_14_16,33 01 30.79
Pr_20_29_14_17,33 05 17
Pr_20_29_14_22,06 15 00
Pr_20_29_14_24,22 14 23
Pr_20_29_14_28,32 31 26.11
Pr_20_29_14_29,13 28 16
Pr_20_29_14_30,32 31 26.11
Pr_20_29_14_31,12 48 43
Pr_20_29_14_33,10 22 39.13
Pr_20_29_14_34,08 88 36
Pr_20_29_14_35,08 46 00
Pr_20_29_14_36,41 23 13
Pr_20_29_14_40,11 21 73.23
Pr_20_29_14_43,02 26 26
Pr_20_29_14_45,08 35 13.33
Pr_20_29_14_50,04 00 00
Pr_20_29_14_65,33 01 30.79
Pr_20_29_14_76,08 88 53
Pr_20_29_14_79,35 59 93.16
Pr_20_29_14_80,27 51 19
Pr_20_29_14_82,05 15 19
Pr_20_29_14_83,05 15 19
Pr_20_29_14_84,07 61 13
Pr_20_29_14_86,41 23 13
Pr_20_29_14_87,09 54 26
Pr_20_29_14_90,06 13 26
Pr_20_29_14_99,07 46 21
Pr_20_29_23,06 43 16
Pr_20_29_23_11,05 52 00
Pr_20_29_23_12,05 17 00
Pr_20_29_23_23,34 11 36.13
Pr_20_29_23_30,06 81 13
Pr_20_29_23_36,06 71 13
Pr_20_29_23_40,02 25 23.13
Pr_20_29_23_50,04 00 00
Pr_20_29_23_52,05 52 00
Pr_20_29_23_65,06 50 00
Pr_20_29_23_80,06 44 23
Pr_20_29_23_83,08 12 19
Pr_20_29_23_84,08 12 19
Pr_20_29_29_23,05 53 13
Pr_20_29_29_62,09 76 00
Pr_20_29_29_66,33 82 46
Pr_20_29_30,26 01 50.51
Pr_20_29_30_11,27 13 43.43
Pr_20_29_30_24,08 01 71
Pr_20_29_30_31,12 01 50
Pr_20_29_30_32,12 01 50
Pr_20_29_30_96,08 01 52.61
Pr_20_29_31_03,05 14 00
Pr_20_29_31_08,23 33 43
Pr_20_29_31_12,05 54 00
Pr_20_29_31_13,05 05 23
Pr_20_29_31_44,05 20 00
Pr_20_29_31_84,31 32 36.19
Pr_20_29_31_85,05 05 23
Pr_20_29_34,08 45 23
Pr_20_29_34_16,43 41 13.13
Pr_20_29_34_34,12 42 23
Pr_20_29_34_35,12 42 23
Pr_20_29_34_85,08 44 26.16
Pr_20_29_34_86,23 33 43
Pr_20_29_40,07 21 00
Pr_20_29_40_12,07 22 16
Pr_20_29_40_30,07 21 13
Pr_20_29_40_73,07 22 16
Pr_20_29_40_96,23 07 16
Pr_20_29_56,31 32 36
Pr_20_29_56_02,07 46 16
Pr_20_29_56_03,31 32 36
Pr_20_29_56_11,07 46 19
Pr_20_29_56_12,05 15 16
Pr_20_29_56_15,05 00 00
Pr_20_29_56_16,33 05 27
Pr_20_29_56_19,06 06 10.13
Pr_20_29_56_20,41 36 23
Pr_20_29_56_36,31 32 36
Pr_20_29_56_38,46 25 41
Pr_20_29_56_50,04 21 13
Pr_20_29_56_60,40 67 33
Pr_20_29_56_65,31 32 36.13
Pr_20_29_56_82,32 92 26
Pr_20_29_56_83,07 61 00
Pr_20_29_56_85,31 32 36.19
Pr_20_29_56_86,11 28 16
Pr_20_29_56_87,10 11 23
Pr_20_29_56_93,31 32 36
Pr_20_29_57_11,35 21 36
Pr_20_29_57_23,11 56 23
Pr_20_29_57_35,10 51 13
Pr_20_29_57_50,35 21 19
Pr_20_29_57_57,10 51 26
Pr_20_29_57_80,41 13 23
Pr_20_29_57_85,23 33 43
Pr_20_29_60,41 42 00
