,code,label,level
0,00 00 00,Procurement and Contracting Requirements,1
1,00 01 01,Project Title Page,4
2,00 01 03,Project Directory,4
3,00 01 05,Certifications Page,4
4,00 01 07,Seals Page,4
5,00 01 10,Table of Contents,4
6,00 01 15,List of Drawing Sheets,4
7,00 01 20,List of Schedules,4
8,00 10 00,Solicitation,2
9,00 11 00,Advertisements and Invitations,3
10,00 11 13,Advertisement for Bids,4
11,00 11 15,Advertisement for Prequalification of Bidders,4
12,00 11 16,Invitation to Bid,4
13,00 11 19,Request for Proposal,4
14,00 11 53,Request for Qualifications,4
15,00 20 00,Instructions for Procurement,2
16,00 21 00,Instructions,3
17,00 21 13,Instructions to Bidders,4
18,00 21 16,Instructions to Proposers,4
19,00 22 00,Supplementary Instructions,3
20,00 22 13,Supplementary Instructions to Bidders,4
21,00 22 16,Supplementary Instructions to Proposers,4
22,00 23 00,Procurement Definitions,3
23,00 24 00,Procurement Scopes,3
24,00 24 13,Scopes of Bids,4
25,00 24 13.13,Scopes of Bids (Multiple Contracts),5
26,00 24 13.16,Scopes of Bids (Multiple-Prime Contract),5
27,00 24 16,Scopes of Proposals,4
28,00 24 16.13,Scopes of Proposals (Multiple Contracts),5
29,00 24 16.16,Scopes of Proposals (Multiple-Prime Contract),5
30,00 25 00,Procurement Meetings,3
31,00 25 13,Pre-Bid Meetings,4
32,00 25 16,Pre-Proposal Meetings,4
33,00 26 00,Procurement Substitution Procedures,3
34,00 30 00,Available Information,2
35,00 31 00,Available Project Information,3
36,00 31 13,Preliminary Schedules,4
37,00 31 13.13,Preliminary Project Schedule,5
38,00 31 13.16,Preliminary Construction Schedule,5
39,00 31 13.23,Preliminary Project Phases,5
40,00 31 13.26,Preliminary Project Sequencing,5
41,00 31 13.33,Preliminary Project Milestones,5
42,00 31 16,Project Budget Information,4
43,00 31 19,Existing Condition Information,4
44,00 31 19.13,Movement and Vibration Information,5
45,00 31 19.16,Acoustic Information,5
46,00 31 19.19,Traffic Information,5
47,00 31 19.23,Existing Structural Information,5
48,00 31 21,Survey Information,4
49,00 31 21.13,Site Survey Information,5
50,00 31 21.16,Measured Drawing Information,5
51,00 31 21.19,Photographic Information,5
52,00 31 24,Environmental Assessment Information,4
53,00 31 24.13,Soil Contamination Report,5
54,00 31 24.23,Environmental Impact Study Report,5
55,00 31 24.26,Environmental Impact Report Evaluation,5
56,00 31 24.29,Record of Environmental Impact Decision,5
57,00 31 24.33,Environmental Impact Mitigation Report,5
58,00 31 25,Existing Material Information,4
59,00 31 25.16,Existing Concrete Information,5
60,00 31 25.19,Existing Masonry Information,5
61,00 31 25.23,Existing Metals Information,5
62,00 31 25.26,"Existing Wood, Plastics, and Composites Information",5
63,00 31 25.29,Existing Thermal and Moisture Protection Information,5
64,00 31 26,Existing Hazardous Material Information,4
65,00 31 26.23,Existing Asbestos Information,5
66,00 31 26.26,Existing Lead Information,5
67,00 31 26.29,Existing Polychlorinate Biphenyl Information,5
68,00 31 26.33,Existing Mold Information,5
69,00 31 26.36,Existing Hazardous Waste Drum Information,5
70,00 31 31,Geophysical Data,4
71,00 31 31.13,Seismic Investigations Information,5
72,00 31 31.16,Gravity Investigations Information,5
73,00 31 31.19,Magnetic Investigations Information,5
74,00 31 31.23,Electromagnetic Investigations Information,5
75,00 31 31.26,Electrical Resistivity Investigations Information,5
76,00 31 31.29,Magnetotelluric Investigations Information,5
77,00 31 32,Geotechnical Data,4
78,00 31 32.13,Subsurface Drilling and Sampling Information,5
79,00 31 32.16,Material Testing Information,5
80,00 31 32.19,Exploratory Excavation Information,5
81,00 31 32.23,Geotechnical Monitoring Information,5
82,00 31 43,Permit Application,4
83,00 31 46,Permits,4
84,00 40 00,Procurement Forms and Supplements,2
85,00 41 00,Bid Forms,3
86,00 41 13,Bid Form - Stipulated Sum (Single-Prime Contract),4
87,00 41 16,Bid Form - Stipulated Sum (Multiple-Prime Contract),4
88,00 41 23,Bid Form - Construction Management (Single-Prime Contract),4
89,00 41 26,Bid Form - Construction Management (Multiple-Prime Contract),4
90,00 41 33,Bid Form - Cost-Plus-Fee (Single-Prime Contract),4
91,00 41 36,Bid Form - Cost-Plus-Fee (Multiple-Prime Contract),4
92,00 41 43,Bid Form - Unit Price (Single-Prime Contract),4
93,00 41 46,Bid Form - Unit Price (Multiple-Prime Contract),4
94,00 41 53,Bid Form - Design/Build (Single-Prime Contract),4
95,00 41 56,Bid Form - Design/Build (Multiple-Prime Contract),4
96,00 41 63,Bid Form - Purchase Contract,4
97,00 42 00,Proposal Forms,3
98,00 42 13,Proposal Form - Stipulated Sum (Single-Prime Contract),4
99,00 42 16,Proposal Form - Stipulated Sum (Multiple-Prime Contract),4
100,00 42 23,Proposal Form - Construction Management (Single-Prime Contract),4
