UNICLASS,PRICE_NEW
Pr_15_31_04_11,9.95
Pr_15_31_04_12,18.450000000000003
Pr_15_31_04_13,14.95
Pr_15_31_04_15,0.25
Pr_15_31_04_20,14.95
Pr_15_31_04_58,176.46666666666667
Pr_15_31_04_64,77.91499999999999
Pr_15_31_04_77,6.95
Pr_15_31_04_80,170.30161290322582
Pr_15_31_04_81,6.95
Pr_15_31_26_07,28.950000000000003
Pr_15_31_26_26,10.725
Pr_15_31_26_31,14.51875
Pr_15_31_26_33,10.49
Pr_15_31_26_34,12.771428571428572
Pr_15_31_26_46,47.0
Pr_15_31_26_71,503.95
Pr_15_57_25_03,4.0
Pr_15_57_25_04,23.800000000000004
Pr_15_57_27_36,15.305
Pr_15_57_33_36,106.35000000000001
Pr_15_57_33_37,9.95
Pr_15_57_33_77,6.5
Pr_15_57_33_80,7.666666666666667
Pr_15_57_35_56,128.0
Pr_15_71_90_91,39.95
Pr_15_93,3.95
Pr_20_29_03,6.5
Pr_20_29_03_30,5.95
Pr_20_29_03_36,20.9
Pr_20_29_03_72,25.095000000000002
Pr_20_29_03_73,47.28333333333334
Pr_20_29_04,130.95999999999998
Pr_20_29_04_27,160.46666666666667
Pr_20_29_08,18.45
Pr_20_29_08_07,16.475
Pr_20_29_08_32,3.95
Pr_20_29_08_46,61.23
Pr_20_29_08_57,7.733333333333333
Pr_20_29_08_92,128.0861111111111
Pr_20_29_10_11,17.45
Pr_20_29_14_03,19.95
Pr_20_29_14_07,12.95
Pr_20_29_14_13,2.3
Pr_20_29_14_17,8.325
Pr_20_29_14_29,40.25
Pr_20_29_14_36,20.4375
Pr_20_29_14_40,6.5
Pr_20_29_14_45,6.95
Pr_20_29_14_76,1.325
Pr_20_29_14_81,8.15
Pr_20_29_23_22,52.475
Pr_20_29_23_23,84.95
Pr_20_29_23_30,6.475
Pr_20_29_23_50,61.45
Pr_20_29_23_52,187.52941176470588
Pr_20_29_23_65,3.85
Pr_20_29_29,89.95
Pr_20_29_29_29,62.36481481481482
Pr_20_29_29_84,190.80625
Pr_20_29_29_96,1.95
Pr_20_29_31_52,27.884999999999998
Pr_20_29_34_34,30.71666666666667
Pr_20_29_34_85,7.25
Pr_20_29_40,10.316666666666666
Pr_20_29_40_12,39.95
Pr_20_29_56_16,46.42142857142857
Pr_20_29_56_60,11.95
Pr_20_29_56_86,15.15
Pr_20_29_57_01,14.95
Pr_20_29_57_30,29.027272727272727
Pr_20_29_57_36,3.95
Pr_20_29_57_38,34.95
Pr_20_29_57_56,10.725
Pr_20_29_57_57,22.95
Pr_20_29_57_88,15.616666666666665
Pr_20_29_57_96,11.95
Pr_20_29_60,146.95
Pr_20_29_60_29,37.45
Pr_20_29_60_32,11.95
Pr_20_29_60_34,40.9840625
Pr_20_29_60_36,199.95
Pr_20_29_60_37,9.5625
Pr_20_29_60_65,1.95
Pr_20_29_60_77,42.9
Pr_20_29_60_96,1.0
Pr_20_29_63_50,60.95
Pr_20_29_63_84,26.950000000000003
Pr_20_29_63_85,28.725
Pr_20_29_70_22,7.95
Pr_20_29_70_46,1.0
Pr_20_29_71_81,18.5
Pr_20_29_76_11,36.9
Pr_20_29_81_56,69.95
Pr_20_29_81_86,11.95
Pr_20_29_85_65,13.616666666666667
Pr_20_29_87_36,36.987500000000004
Pr_20_29_87_37,21.978571428571428
Pr_20_29_87_96,6.5
Pr_20_29_97,12.95
Pr_20_29_97_09,6.5
Pr_20_31_01_32,13.95
Pr_20_31_01_85,2.6166666666666667
Pr_20_31_02_06,9.95
Pr_20_31_02_60,24.079166666666666
Pr_20_31_02_94,5.5
Pr_20_31_04_01,105.58571428571429
Pr_20_31_04_04,14.5
Pr_20_31_04_05,171.78333333333333
Pr_20_31_04_06,4.95
Pr_20_31_04_09,1.75
