,IFC,Master Format,eBPK,Master Format indexes,eBPK indexes
0,actuator,['Hydraulic Actuator Systems' 'Pneumatic Actuators' 'Manual Actuators'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[6937 6938 6934],[327 102 104]
1,alarm,"['Alarm Dialers' 'Refrigerant Detection and Alarm'
 'Water Detection and Alarm']",['Fire alarm system' 'VAT' 'Refrigeration'],[7368 5127 5131],[ 97 327 111]
2,controller,"['Single-Loop Controllers' 'Programmable Controllers'
 'Medium-Voltage Motor Controllers']",['Recreation system control' 'Access control system' 'Operating income'],[7364 4538 4586],[235  94 324]
3,flow  instrument,['Flow Instruments' 'Flow Nozzle-Type Flow Meters' 'Instrument Tubing'],"['Storage strong current' 'Transforming strong current'
 'Consumer strong current electrical appliances']",[4023 7245 7378],[77 76 80]
4,sensor,['Sensors and Transmitters' 'Metal Detectors' 'Other Sensors'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[4016 7521 5146],[327 102 104]
5,unitary control  element,['Control Valves' 'Control Valves' 'Control Dampers'],"['Recreation system control' 'Access control system'
 'Water installation element']",[4017 4020 4018],[235  94 127]
6,construction equipment  resource,"['Waterway Construction and Equipment' 'Glued-Laminated Construction'
 'Roadway Construction']","['Construction mine' 'Construction inclined roof'
 'Construction site organization']",[6788 1284 6628],[42 69 21]
7,construction material  resource,['Material Dryers' 'Material Roasters' 'Backfill Material Schedule'],"['Construction mine' 'Material installation'
 'Furnishing for material preparation']",[7818 7823 5286],[42 43 19]
8,construction  resource,"['Glued-Laminated Construction' 'Roadway Construction'
 'Construction Facilities']","['Construction mine' 'Construction inclined roof'
 'Construction site organization']",[1284 6628  422],[42 69 21]
9,labor  resource,['Labor Stabilization Agreement' 'Grinding Equipment' 'Grinding Equipment'],"['Improvement building ground' 'Recreation system built in'
 'Podest lying outside']",[ 247 7573 7602],[ 45 236  71]
10,audio visual  appliance,['Audio Equipment' 'Audio-Visual Equipment' 'Audio Monitoring'],"['Consumer strong current electrical appliances'
 'Smoke and heat treatment plant' 'Heat source']",[5241 2885 5111],[ 80 102 104]
11,cable carrier  fitting,"['Power-Line Carriers' 'Power-Line Carriers'
 'Cable Pressurization Equipment']","['Wastewater fitting' 'Production system fitting'
 'Laboratory system fitting']",[6370 6464 6459],[132 197 202]
12,cable carrier  segment,"['Power-Line Carriers' 'Power-Line Carriers'
 'Cable Pressurization Equipment']",['Rainwater line' 'Gas line' 'Power line'],[6370 6464 6459],[34 35 28]
13,cable  fitting,"['Cable Pressurization Equipment' 'Medium-Voltage Cables'
 'Cable Trays for Electrical Systems']","['Wastewater fitting' 'Production system fitting'
 'Laboratory system fitting']",[6459 4490 4503],[132 197 202]
14,cable  segment,"['Cable Pressurization Equipment' 'Medium-Voltage Cables'
 'Cable Trays for Electrical Systems']",['Rainwater line' 'Gas line' 'Power line'],[6459 4490 4503],[34 35 28]
15,communications  appliance,['Communications' 'Residential Appliances' 'Audio-Video Communications'],"['Consumer strong current electrical appliances'
 'Smoke and heat treatment plant' 'Heat source']",[4712 2846 4850],[ 80 102 104]
16,distribution  board,['Board Fireproofing' 'Gypsum Board' 'Slag-Fiber Board Fireproofing'],"['Water distribution' 'Production system distribution'
 'Laboratory system distribution']",[1670 2159 1672],[125 196 201]
17,electric  appliance,['Residential Appliances' 'Electric Boilers' 'Electric Dumbwaiters'],"['Consumer strong current electrical appliances'
 'Electrical system weak stream for the environment'
 'Electrical system Strong stream for the surrounding area']",[2846 4192 3512],[ 80 270 269]
18,electric distribution  board,['Board Fireproofing' 'Gypsum Board' 'Slag-Fiber Board Fireproofing'],"['Water distribution' 'Production system distribution'
 'Laboratory system distribution']",[1670 2159 1672],[125 196 201]
19,electric flow storage  device,['Flow Storage Racks' 'Flow Nozzle-Type Flow Meters' 'Flow Regulators'],['Storage device' 'Storage strong current' 'Production system storage'],[2637 7245 6176],[245  77 195]
20,electric flow treatment  device,['Flow Nozzle-Type Flow Meters' 'Flow Regulators' 'Flow Metering Weirs'],['Device for treatment' 'Wastewater treatment' 'Water treatment'],[7245 6176 7267],[215 129 123]
21,electric  generator,['Electric Boilers' 'Electric Dumbwaiters' 'Electric Locomotives'],"['Heat source' 'Cold source'
 'Consumer strong current electrical appliances']",[4192 3512 7728],[104 110  80]
22,electric  motor,['Electric Motor Actuators' 'Electric Boilers' 'Electric Dumbwaiters'],"['Consumer strong current electrical appliances'
 'Electrical system weak stream for the environment'
 'Electrical system Strong stream for the surrounding area']",[6935 4192 3512],[ 80 270 269]
23,electric time  control,"['Electric and Electronic Control System for HVAC'
 'Pneumatic and Electric Control System for HVAC' 'Control Valves']","['Recreation system control' 'Access control system'
 'Consumer strong current electrical appliances']",[4035 4037 4020],[235  94  80]
24,junction  box,['Box Fillers' 'Gabion Boxes' 'Box Caissons'],['Underground building' 'Earth connected podium' 'Cold source'],[7656 5417 5508],[253  60 110]
25,lamp,['Lamps' 'Lamp Testing' 'Portable Lamps'],['Mobile lamp' 'VAT' 'Refrigeration'],[3167 5926 3166],[283 327 111]
26,light  fixture,"['Light Rail Track' 'Indicating Lights'
 'Airfield Runway Identification Lights']","['Consumer strong current lights' 'Medical lighting body'
 'Consumer weak stream']",[6500 7359 6587],[ 79 220  85]
27,mobile telecommunications  appliance,['Mobile Generators' 'Mobile Welders' 'Mobile Sweepers/Vacuums'],['Mobile device' 'Mobile lamp' 'Mobile equipment for the surrounding area'],[7732 7733 7738],[287 283 277]
28,motor  connection,"['Fire-Department Connections' 'Wiring Connections'
 'Utility Service Connections']",['Tied stairs' 'Operating effort' 'Earth connected podium'],[3622 4519  287],[ 59 323  60]
29,outlet,"['Outlet Structures for Stormwater Ponds'
 'Stormwater Pond Concrete Outlet Structures'
 'Stormwater Pond Fiberglass Outlet Structures']",['Outdoor air supply' 'Water supply' 'Production system supply'],[6235 6236 6237],[116 122 193]
30,protective  device,"['Surge Protective Devices' 'Low-Voltage Circuit Protective Devices'
 'Temporary Protective Walkways']",['Device for treatment' 'Storage device' 'Protective layer under terrain'],[4677 4615  451],[215 245 151]
31,protective device tripping  unit,['Biologically Activated Filters' 'Unit Kitchens' 'Unit Skylights'],['Device for treatment' 'Storage device' 'Protective layer under terrain'],[8619 2851 1991],[215 245 151]
32,solar  device,"['Solar Instrumentation' 'Solar Air-Heating Panels'
 'Solar Domestic Water Preheaters']",['Device for treatment' 'Storage device' 'Mobile device'],[3476 4232 3844],[215 245 287]
33,switching  device,['Switches and Routers' 'Temperature Switches' 'EHV Disconnect switch'],['Switching device combination' 'Device for treatment' 'Storage device'],[7201 7305 6392],[ 91 215 245]
34,transformer,"['Medium-Voltage Transformers' 'Dry-Type, Medium-Voltage Transformers'
 'Liquid-Filled, Medium-Voltage Transformers']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[4562 4564 4563],[327 102 104]
35,air  terminal,['Air Terminal Units' 'Air Terminal Unit Schedule' 'Air Barriers'],['Air distribution' 'Air output' 'Air heating storage'],[4144 3993 1501],[119 120 118]
36,air terminal  box,['Air Terminal Units' 'Air Terminal Unit Schedule' 'Air Barriers'],['Air distribution' 'Air output' 'Air heating storage'],[4144 3993 1501],[119 120 118]
