Uni_Code,eBKP_code
Pr_20,J03.01
Pr_20_29_03,F02.03
Pr_20_29_03_04,F02.03
Pr_20_29_03_05,B03.01
Pr_20_29_03_28,D05.03
Pr_20_29_03_31,F02.03
Pr_20_29_03_33,F02.03
Pr_20_29_03_34,C01.03
Pr_20_29_03_35,C01.03
Pr_20_29_03_47,D12.06
Pr_20_29_03_48,D12.06
Pr_20_29_03_72,C05.01
Pr_20_29_03_77,F02.03
Pr_20_29_03_80,B06.03
Pr_20_29_03_81,B06.03
Pr_20_29_03_86,F02.03
Pr_20_29_03_97,F02.03
Pr_20_29_04_27,J02.03
Pr_20_29_08_04,F02.03
Pr_20_29_08_08,G05.07
Pr_20_29_08_18,B03.04
Pr_20_29_08_26,C04.01
Pr_20_29_08_27,C04.01
Pr_20_29_08_76,C02.01
Pr_20_29_08_86,C02.01
Pr_20_29_08_92,C04.01
Pr_20_29_10,B04.01
Pr_20_29_10_11,B04.01
Pr_20_29_10_12,B04.01
Pr_20_29_10_14,B04.01
Pr_20_29_10_21,D04.06
Pr_20_29_10_79,C04.01
Pr_20_29_14_07,C04.01
Pr_20_29_14_08,C04.01
Pr_20_29_14_14,E02.03
Pr_20_29_14_15,D01.02
Pr_20_29_14_16,B03.02
Pr_20_29_14_22,G05.03
Pr_20_29_14_24,B03.02
Pr_20_29_14_28,E02.06
Pr_20_29_14_29,E02.06
Pr_20_29_14_30,I05.08
Pr_20_29_14_31,G02
Pr_20_29_14_34,D04.01
Pr_20_29_14_35,D04.01
Pr_20_29_14_65,B03.02
Pr_20_29_14_80,D03.01
Pr_20_29_14_87,G04.02
Pr_20_29_29_62,C01.02
Pr_20_29_29_66,B04.01
Pr_20_29_30_11,B04.01
Pr_20_29_31_03,C02.01
Pr_20_29_31_12,C02.01
Pr_20_29_31_44,C04.01
Pr_20_29_31_84,C02.01
Pr_20_29_34_35,C02.01
Pr_20_29_40,F01.01
Pr_20_29_40_12,D05.05
Pr_20_29_40_30,F01.01
Pr_20_29_40_73,F02.03
Pr_20_29_40_96,F01.01
Pr_20_29_56,C02.01
Pr_20_29_56_60,J01.01
Pr_20_29_56_83,C04.05
Pr_20_29_56_86,J02.03
Pr_20_29_57_23,C04.05
Pr_20_29_57_35,D03.04
Pr_20_29_57_44,G05.03
Pr_20_29_57_50,D08.04
Pr_20_29_57_56,G05.03
Pr_20_29_57_75,D03.04
Pr_20_29_57_85,C02.01
Pr_20_29_60,J02.02
Pr_20_29_60_17,D01.06
Pr_20_29_60_20,D01.06
Pr_20_29_60_29,D01.06
Pr_20_29_60_30,D01.06
Pr_20_29_60_31,D01.06
Pr_20_29_60_32,D09.04
Pr_20_29_60_37,G02
Pr_20_29_60_60,D07.02
Pr_20_29_60_62,D01.06
Pr_20_29_60_63,D01.06
Pr_20_29_60_75,G05.02
Pr_20_29_60_76,D01.06
Pr_20_29_60_84,D01.06
Pr_20_29_60_96,D01.06
Pr_20_29_63,D01.04
Pr_20_29_70,E02.06
Pr_20_29_70_13,C04.01
Pr_20_29_70_31,C02.01
Pr_20_29_70_32,G05.02
Pr_20_29_70_36,I02.04
Pr_20_29_70_41,F01.01
Pr_20_29_70_68,E02.06
Pr_20_29_70_70,E02.06
Pr_20_29_76_50,G05.02
Pr_20_29_81_08,C02.01
Pr_20_29_81_56,C02.01
Pr_20_29_81_61,C05.02
Pr_20_29_81_80,C02.01
Pr_20_29_87,F
Pr_20_29_88_27,B03.01
Pr_20_29_88_31,F01.04
Pr_20_29_88_37,C04.05
Pr_20_29_88_70,F01.04
Pr_20_29_88_71,F
Pr_20_29_88_73,C04.05
Pr_20_29_88_74,F01
Pr_20_29_88_75,F
Pr_20_31_01_22,D07.04
Pr_20_31_01_86,J03
Pr_20_31_01_96,D08.04
Pr_20_31_02_18,D06.02
Pr_20_31_03_15,I04.03
Pr_20_31_03_16,I04.03
