,raw,code,word,Translated_Text
0,A01.01 Grundstückserwerb;A01.01;Grundstückserwerb;;;;;;Grundstückserwerb,A01.01,Grundstückserwerb,Property acquisition
1,A01.02 Baurechtserwerb;A01.02;Baurechtserwerb;;;;;;Baurechtserwerb,A01.02,Baurechtserwerb,Building law acquisition
2,A01.03 Bauwerkserwerb;A01.03;Bauwerkserwerb;;;;;;Bauwerkserwerb,A01.03,Bauwerkserwerb,Building acquisition
3,A01.04 Perimeterbeitrag;A01.04;Perimeterbeitrag;;;;;;Perimeterbeitrag,A01.04,Perimeterbeitrag,Perimeter contribution
4,A02.01 Handänderungssteuer,A02.01,Handänderungssteuer,Hand change tax
5,A02.02 Notariatskosten;A02.02;Notariatskosten;;;;;;Notariatskosten,A02.02,Notariatskosten,Notary costs
6,A02.03 Grundbuchgebühr;A02.03;Grundbuchgebühr;;;;;;Grundbuchgebühr,A02.03,Grundbuchgebühr,Land registry fee
7,A02.04 Anwaltskosten,A02.04,Anwaltskosten,Attorney
8,A02.05 Vermittlungsprovision;A02.05;Vermittlungsprovision;;;;;;Vermittlungsprovision,A02.05,Vermittlungsprovision,Mediation commission
9,A02.06 Abfindung,A02.06,Abfindung,severance pay
10,A02.07 Vermessung,A02.07,Vermessung,measurement
11,B01.01 Baugrunduntersuchung;B01.01;Baugrunduntersuchung;;;;;;Baugrunduntersuchung,B01.01,Baugrunduntersuchung,Building basic investigation
12,B01.02 Bestandsaufnahme;B01.02;Bestandsaufnahme;;;;;;Bestandsaufnahme,B01.02,Bestandsaufnahme,inventory
13,B01.03 Umweltmessung;B01.03;Umweltmessung;;;;;;Umweltmessung,B01.03,Umweltmessung,Environmental measurement
14,B01.04 Überwachung;B01.04;Überwachung;;;;;;Überwachung,B01.04,Überwachung,surveillance
15,B02.01 Baustellenerschliessung;B02.01;Baustellenerschliessung;;;;;;Baustellenerschliessung,B02.01,Baustellenerschliessung,Construction site closure
16,B02.02 Versorgung,B02.02,Versorgung,care
17,B02.03 Arbeitsraum,B02.03,Arbeitsraum,working space
18,B02.04 Hebe-,B02.04,Hebe-,Lifting
19,B02.05 Einrichtung für Materialaufbereitung;B02.05;Einrichtung;für;Materialaufbereitung;;;;Einrichtung für Materialaufbereitung,B02.05,Einrichtung für Materialaufbereitung,Furnishing for material preparation
20,B02.06 Witterungsbedingte Baumassnahme;B02.06;Witterungsbedingte;Baumassnahme;;;;;Witterungsbedingte Baumassnahme,B02.06,Witterungsbedingte Baumassnahme,Weather related construction measures
21,B02.07 Baustellenorganisation,B02.07,Baustellenorganisation,Construction site organization
22,B02.08 Schutzmassnahme für Umgebung;B02.08;Schutzmassnahme;für;Umgebung;;;;Schutzmassnahme für Umgebung,B02.08,Schutzmassnahme für Umgebung,Protection measure for the environment
23,B03.01 Provisorisches Rückhaltesystem;B03.01;Provisorisches;Rückhaltesystem;;;;;Provisorisches Rückhaltesystem,B03.01,Provisorisches Rückhaltesystem,Provisional retention system
24,B03.02 Provisorische Werkleitung;B03.02;Provisorische;Werkleitung;;;;;Provisorische Werkleitung,B03.02,Provisorische Werkleitung,Provisional work management
25,B03.03 Provisorisches Gebäude;B03.03;Provisorisches;Gebäude;;;;;Provisorisches Gebäude,B03.03,Provisorisches Gebäude,Provisional building
26,B03.04 Provisorische Verkehrsanlage;B03.04;Provisorische;Verkehrsanlage;;;;;Provisorische Verkehrsanlage,B03.04,Provisorische Verkehrsanlage,Provisional traffic system
27,B03.05 Provisorischer Ausbau,B03.05,Provisorischer Ausbau,Provisional expansion
28,B04.01 Starkstromleitung;B04.01;Starkstromleitung;;;;;;Starkstromleitung,B04.01,Starkstromleitung,Power line
29,B04.02 Schwachstromleitung;B04.02;Schwachstromleitung;;;;;;Schwachstromleitung,B04.02,Schwachstromleitung,Low current line
30,B04.03 Fernwärmeleitung;B04.03;Fernwärmeleitung;;;;;;Fernwärmeleitung,B04.03,Fernwärmeleitung,District heating line
31,B04.04 Fernkälteleitung;B04.04;Fernkälteleitung;;;;;;Fernkälteleitung,B04.04,Fernkälteleitung,Remote cold line
32,B04.05 Wasserleitung;B04.05;Wasserleitung;;;;;;Wasserleitung,B04.05,Wasserleitung,Water pipe
33,B04.06 Schmutzwasserleitung;B04.06;Schmutzwasserleitung;;;;;;Schmutzwasserleitung,B04.06,Schmutzwasserleitung,Wastewater pipe
34,B04.07 Regenwasserleitung;B04.07;Regenwasserleitung;;;;;;Regenwasserleitung,B04.07,Regenwasserleitung,Rainwater line
35,B04.08 Gasleitung;B04.08;Gasleitung;;;;;;Gasleitung,B04.08,Gasleitung,Gas line
36,B05.01 Fällung,B05.01,Fällung,precipitation
37,B05.02 Nicht kontaminierter Rückbau;B05.02;Nicht;kontaminierter;Rückbau;;;;Nicht kontaminierter Rückbau,B05.02,Nicht kontaminierter Rückbau,Non contaminated dismantling
38,B05.03 Kontaminierter Rückbau;B05.03;Kontaminierter;Rückbau;;;;;Kontaminierter Rückbau,B05.03,Kontaminierter Rückbau,Contaminated dismantling
39,B06.01 Nicht kontaminierter Aushub;B06.01;Nicht;kontaminierter;Aushub;;;;Nicht kontaminierter Aushub,B06.01,Nicht kontaminierter Aushub,Non contaminated excavation
40,B06.02 Kontaminierter Aushub;B06.02;Kontaminierter;Aushub;;;;;Kontaminierter Aushub,B06.02,Kontaminierter Aushub,Contaminated excavation
41,B06.03 Böschungssicherung;B06.03;Böschungssicherung;;;;;;Böschungssicherung,B06.03,Böschungssicherung,Embankment
42,B06.04 Baugrubenabschluss;B06.04;Baugrubenabschluss;;;;;;Baugrubenabschluss,B06.04,Baugrubenabschluss,Construction mine
43,B06.05 Materialeinbau;B06.05;Materialeinbau;;;;;;Materialeinbau,B06.05,Materialeinbau,Material installation
44,B06.06 Wasserhaltung;B06.06;Wasserhaltung;;;;;;Wasserhaltung,B06.06,Wasserhaltung,Water husbandry
45,B07.01 Verbesserung Baugrund;B07.01;Verbesserung;Baugrund;;;;;Verbesserung Baugrund,B07.01,Verbesserung Baugrund,Improvement building ground
46,B07.02 Pfählung;B07.02;Pfählung;;;;;;Pfählung,B07.02,Pfählung,Post
47,B07.03 Unterfangung Bauwerk;B07.03;Unterfangung;Bauwerk;;;;;Unterfangung Bauwerk,B07.03,Unterfangung Bauwerk,Sub incorporation building
