Classifications,Property Names,Property Types
IfcActuator,ActuatorApplication,"['DAMPERACTUATOR', 'ENTRYEXITDEVICE', 'FIRESMOKEDAMPERACTUATOR', 'LAMPACTUATOR', 'NOTKNOWN', 'OTHER', 'SUNBLINDACTUATOR', 'UNSET', 'VALVEPOSITIONER']"
IfcActuator,ActuatorStatus,"['DEMOLISH', 'EXISTING', 'NEW', 'NOTKNOWN', 'OTHER', 'TEMPORARY', 'UNSET']"
IfcActuator,FailPosition,"['FAILCLOSED', 'FAILOPEN', 'NOTKNOWN', 'OTHER', 'UNSET']"
IfcActuator,ManualOverride,"['TRUE', 'FALSE']"
IfcActuator,Reference,string
IfcActuator,Force,real
IfcActuator,Stroke,real
IfcActuator,RangeAngle,real
IfcActuator,Torque,real
IfcActuator,GrossWeight,real
IfcAlarm,Reference,string
IfcAlarm,Status,"['DEMOLISH', 'EXISTING', 'NEW', 'NOTKNOWN', 'OTHER', 'TEMPORARY', 'UNSET']"
IfcAlarm,GrossWeight,real
IfcController,Reference,string
IfcController,Status,"['DEMOLISH', 'EXISTING', 'NEW', 'NOTKNOWN', 'OTHER', 'TEMPORARY', 'UNSET']"
IfcController,GrossWeight,real
IfcController,ControllerInterfaceType,"['EARTHQUAKERELAYINTERFACE', 'FOREIGNOBJECTRELAYINTERFACE', 'NOTKNOWN', 'OTHER', 'RS_422', 'RS_485', 'UNSET']"
IfcController,HasEarthquakeAlarm,"['TRUE', 'FALSE']"
IfcController,HasEarthquakeCollection,"['TRUE', 'FALSE']"
IfcController,HasForeignObjectCollection,"['TRUE', 'FALSE']"
IfcController,HasOutputFunction,"['TRUE', 'FALSE']"
IfcController,HasRainCollection,"['TRUE', 'FALSE']"
IfcController,HasSnowCollection,"['TRUE', 'FALSE']"
IfcController,HasWindCollection,"['TRUE', 'FALSE']"
IfcFlowInstrument,Reference,string
IfcFlowInstrument,Status,"['DEMOLISH', 'EXISTING', 'NEW', 'NOTKNOWN', 'OTHER', 'TEMPORARY', 'UNSET']"
IfcFlowInstrument,GrossWeight,real
IfcSensor,Reference,string
IfcSensor,Status,"['DEMOLISH', 'EXISTING', 'NEW', 'NOTKNOWN', 'OTHER', 'TEMPORARY', 'UNSET']"
IfcSensor,GrossWeight,real
IfcUnitaryControlElement,Reference,string
IfcUnitaryControlElement,Status,"['DEMOLISH', 'EXISTING', 'NEW', 'NOTKNOWN', 'OTHER', 'TEMPORARY', 'UNSET']"
IfcUnitaryControlElement,GrossWeight,real
IfcConstructionEquipmentResource,OperatingTime,real
IfcConstructionEquipmentResource,UsageTime,real
IfcConstructionMaterialResource,GrossVolume,real
IfcConstructionMaterialResource,GrossWeight,real
IfcConstructionMaterialResource,NetVolume,real
IfcConstructionMaterialResource,NetWeight,real
IfcLaborResource,OvertimeWork,real
IfcLaborResource,StandardWork,real
IfcAudioVisualAppliance,Reference,string
IfcAudioVisualAppliance,Status,"['DEMOLISH', 'EXISTING', 'NEW', 'NOTKNOWN', 'OTHER', 'TEMPORARY', 'UNSET']"
IfcAudioVisualAppliance,GrossWeight,real
IfcCableCarrierFitting,Reference,string
IfcCableCarrierFitting,Status,"['DEMOLISH', 'EXISTING', 'NEW', 'NOTKNOWN', 'OTHER', 'TEMPORARY', 'UNSET']"
IfcCableCarrierFitting,GrossWeight,real
IfcCableCarrierSegment,Reference,string
IfcCableCarrierSegment,Status,"['DEMOLISH', 'EXISTING', 'NEW', 'NOTKNOWN', 'OTHER', 'TEMPORARY', 'UNSET']"
IfcCableCarrierSegment,CrossSectionArea,real
IfcCableCarrierSegment,GrossWeight,real
IfcCableCarrierSegment,Length,real
IfcCableCarrierSegment,OuterSurfaceArea,real
IfcCableFitting,Reference,string
IfcCableFitting,Status,"['DEMOLISH', 'EXISTING', 'NEW', 'NOTKNOWN', 'OTHER', 'TEMPORARY', 'UNSET']"
IfcCableFitting,GrossWeight,real
IfcCableFitting,Attenuation,real
IfcCableFitting,CableArmourType,"['DIELECTRIC', 'METALLIC', 'NOTKNOWN', 'OTHER', 'UNSET']"
IfcCableFitting,CableFunctionType,"['NOTKNOWN', 'OTHER', 'POWERSUPPLY', 'TELECOMMUNICATION', 'UNSET']"
IfcCableFitting,FireRating,string
IfcCableFitting,IsFireResistant,"['TRUE', 'FALSE']"
IfcCableFitting,JacketColour,string
IfcCableFitting,NominalDiameter,real
IfcCableSegment,CurrentCarryingCapacity,real
IfcCableSegment,DistanceBetweenParallelCircuits,real
IfcCableSegment,InstallationMethod,string
IfcCableSegment,InstallationMethodFlagEnum,"['BELOWCEILING', 'INDUCT', 'INSOIL', 'NOTKNOWN', 'ONWALL', 'OTHER', 'UNSET']"
IfcCableSegment,IsHorizontalCable,"['TRUE', 'FALSE']"
IfcCableSegment,IsMountedFlatCable,"['TRUE', 'FALSE']"
IfcCableSegment,MaximumCableLength,real
IfcCableSegment,MountingMethod,"['LADDER', 'NOTKNOWN', 'OTHER', 'PERFORATEDTRAY', 'UNSET']"
IfcCableSegment,PowerLoss,real
IfcCableSegment,SequentialCode,string
IfcCableSegment,SoilConductivity,real
IfcCableSegment,UserCorrectionFactor,real
IfcCableSegment,Reference,string
IfcCableSegment,Status,"['DEMOLISH', 'EXISTING', 'NEW', 'NOTKNOWN', 'OTHER', 'TEMPORARY', 'UNSET']"
IfcCableSegment,CrossSectionArea,real
IfcCableSegment,GrossWeight,real
IfcCableSegment,Length,real
IfcCableSegment,OuterSurfaceArea,real
IfcCableSegment,ConnectorAColour,string
IfcCableSegment,ConnectorAGender,"['FEMALE', 'MALE', 'NOTKNOWN', 'OTHER', 'UNSET']"
IfcCableSegment,ConnectorAType,string
IfcCableSegment,ConnectorBColour,string
IfcCableSegment,ConnectorBGender,"['FEMALE', 'MALE', 'NOTKNOWN', 'OTHER', 'UNSET']"
IfcCableSegment,ConnectorBType,string
IfcCableSegment,Attenuation,real
IfcCableSegment,CableArmourType,"['DIELECTRIC', 'METALLIC', 'NOTKNOWN', 'OTHER', 'UNSET']"
IfcCableSegment,CableFunctionType,"['NOTKNOWN', 'OTHER', 'POWERSUPPLY', 'TELECOMMUNICATION', 'UNSET']"
IfcCableSegment,FireRating,string
IfcCableSegment,IsFireResistant,"['TRUE', 'FALSE']"
IfcCableSegment,JacketColour,string
IfcCableSegment,NominalDiameter,real
IfcCommunicationsAppliance,Reference,string
IfcCommunicationsAppliance,Status,"['DEMOLISH', 'EXISTING', 'NEW', 'NOTKNOWN', 'OTHER', 'TEMPORARY', 'UNSET']"
IfcCommunicationsAppliance,GrossWeight,real
IfcElectricAppliance,Reference,string
IfcElectricAppliance,Status,"['DEMOLISH', 'EXISTING', 'NEW', 'NOTKNOWN', 'OTHER', 'TEMPORARY', 'UNSET']"
IfcElectricAppliance,GrossWeight,real
IfcElectricDistributionBoard,IsMain,"['TRUE', 'FALSE']"
IfcElectricDistributionBoard,IsSkilledOperator,"['TRUE', 'FALSE']"
IfcElectricDistributionBoard,Reference,string
IfcElectricDistributionBoard,Status,"['DEMOLISH', 'EXISTING', 'NEW', 'NOTKNOWN', 'OTHER', 'TEMPORARY', 'UNSET']"
IfcElectricDistributionBoard,GrossWeight,real
IfcElectricDistributionBoard,NumberOfCircuits,real
IfcElectricFlowStorageDevice,ConnectedConductorFunction,"['NEUTRAL', 'NOTKNOWN', 'OTHER', 'PHASE_L1', 'PHASE_L2', 'PHASE_L3', 'PROTECTIVEEARTH', 'PROTECTIVEEARTHNEUTRAL', 'UNSET']"
IfcElectricFlowStorageDevice,EarthFault1PoleMaximumState,real
IfcElectricFlowStorageDevice,EarthFault1PoleMinimumState,real
IfcElectricFlowStorageDevice,EarthFault1PolePowerFactorMaximumState,real
IfcElectricFlowStorageDevice,EarthFault1PolePowerFactorMinimumState,real
IfcElectricFlowStorageDevice,MaximumInsulatedVoltage,real
IfcElectricFlowStorageDevice,NominalFrequency,real
IfcElectricFlowStorageDevice,NominalSupplyVoltage,real
IfcElectricFlowStorageDevice,PowerCapacity,real
IfcElectricFlowStorageDevice,RatedCapacitance,real
IfcElectricFlowStorageDevice,Reference,string
IfcElectricFlowStorageDevice,ShortCircuit1PoleMaximumState,real
IfcElectricFlowStorageDevice,ShortCircuit1PoleMinimumState,real
IfcElectricFlowStorageDevice,ShortCircuit1PolePowerFactorMaximumState,real
IfcElectricFlowStorageDevice,ShortCircuit1PolePowerFactorMinimumState,real
IfcElectricFlowStorageDevice,ShortCircuit2PoleMinimumState,real
IfcElectricFlowStorageDevice,ShortCircuit2PolePowerFactorMinimumState,real
IfcElectricFlowStorageDevice,ShortCircuit3PoleMaximumState,real
IfcElectricFlowStorageDevice,ShortCircuit3PolePowerFactorMaximumState,real
IfcElectricFlowStorageDevice,Status,"['DEMOLISH', 'EXISTING', 'NEW', 'NOTKNOWN', 'OTHER', 'TEMPORARY', 'UNSET']"
IfcElectricFlowStorageDevice,GrossWeight,real
IfcElectricGenerator,ElectricGeneratorEfficiency,real
IfcElectricGenerator,MaximumPowerOutput,real
IfcElectricGenerator,Reference,string
IfcElectricGenerator,StartCurrentFactor,real
IfcElectricGenerator,Status,"['DEMOLISH', 'EXISTING', 'NEW', 'NOTKNOWN', 'OTHER', 'TEMPORARY', 'UNSET']"
IfcElectricGenerator,GrossWeight,real
IfcElectricMotor,ElectricMotorEfficiency,real
IfcElectricMotor,FrameSize,string
