fourth_level,material_emb_2,Masse/suface
Bar,Aluminium,2690.0
Bar,Steel,7850.0
Basement floors,Cork,27.5
Bricks,Clays,737.5
Cement,Cement,1700.0
Clays,Clays,700.0
Concrete,Concrete,1788.3333333333333
Doors,Aluminium,26.52
Doors,Mixed,14.95
Doors,Wood,11.22
Foundation,Concrete,
Foundation,Metal,
Insulation,Cellulose Fibre,30.0
Insulation,Cork,1269.0
Insulation,Fibre,1006.6666666666666
Insulation,Glass,917.5
Insulation,Glass wool,1223.0
Insulation,Polystyrene (PS),1262.5
Insulation,Polyurethane (PU),1262.5
Insulation,Resin,1256.0
Insulation,Rockwool,535.0
Insulation,Straw,102.0
Medium-density fiberboards (MDF),Medium-density fiberboards (MDF),685.0
Panels,Aluminium,7.1
Panels,Cement replacement materials,44.8
Panels,Fibre,102.0
Panels,Mixed,559.4
Panels,Plastics,
Panels,Resin,14.4
Panels,Synthetic minerals,15.0
Panels,Wood,588.75
Parquet,Cork,21.4
Parquet,Wood,132.33333333333334
Sandstone,Stone,1533.3333333333333
Sheet,Aluminium,2690.0
Sheet,Brass,8300.0
Sheet,Chrome steel,7700.0
Sheet,Copper,8900.0
Sheet,Nickel steel,7900.0
Sheet,Steel,7850.0
Sheet,Titanium,7200.0
Slabs,Stone,27.0
Windows,Aluminium,
Windows,Glass,6.3
Windows,Polyvinyl chloride (PVC),
Windows,Wood,
Windows,Wood Metal,
