Uni_Parent,Uni_Code
Pr,Pr_20
Pr_20,Pr_20_29
Pr_20_29,Pr_20_29_03
Pr_20_29_03,Pr_20_29_03_04
Pr_20_29_03,Pr_20_29_03_05
Pr_20_29_03,Pr_20_29_03_10
Pr_20_29_03,Pr_20_29_03_11
Pr_20_29_03,Pr_20_29_03_12
Pr_20_29_03,Pr_20_29_03_13
Pr_20_29_03,Pr_20_29_03_14
Pr_20_29_03,Pr_20_29_03_15
Pr_20_29_03,Pr_20_29_03_16
Pr_20_29_03,Pr_20_29_03_17
Pr_20_29_03,Pr_20_29_03_18
Pr_20_29_03,Pr_20_29_03_28
Pr_20_29_03,Pr_20_29_03_30
Pr_20_29_03,Pr_20_29_03_31
Pr_20_29_03,Pr_20_29_03_32
Pr_20_29_03,Pr_20_29_03_33
Pr_20_29_03,Pr_20_29_03_34
Pr_20_29_03,Pr_20_29_03_35
Pr_20_29_03,Pr_20_29_03_36
Pr_20_29_03,Pr_20_29_03_44
Pr_20_29_03,Pr_20_29_03_47
Pr_20_29_03,Pr_20_29_03_48
Pr_20_29_03,Pr_20_29_03_66
Pr_20_29_03,Pr_20_29_03_72
Pr_20_29_03,Pr_20_29_03_73
Pr_20_29_03,Pr_20_29_03_77
Pr_20_29_03,Pr_20_29_03_79
Pr_20_29_03,Pr_20_29_03_80
Pr_20_29_03,Pr_20_29_03_81
Pr_20_29_03,Pr_20_29_03_82
Pr_20_29_03,Pr_20_29_03_83
Pr_20_29_03,Pr_20_29_03_84
Pr_20_29_03,Pr_20_29_03_86
Pr_20_29_03,Pr_20_29_03_88
Pr_20_29_03,Pr_20_29_03_92
Pr_20_29_03,Pr_20_29_03_97
Pr_20_29,Pr_20_29_04
Pr_20_29_04,Pr_20_29_04_26
Pr_20_29_04,Pr_20_29_04_27
Pr_20_29,Pr_20_29_08
Pr_20_29_08,Pr_20_29_08_04
Pr_20_29_08,Pr_20_29_08_07
Pr_20_29_08,Pr_20_29_08_08
Pr_20_29_08,Pr_20_29_08_11
Pr_20_29_08,Pr_20_29_08_12
Pr_20_29_08,Pr_20_29_08_15
Pr_20_29_08,Pr_20_29_08_18
Pr_20_29_08,Pr_20_29_08_26
Pr_20_29_08,Pr_20_29_08_27
Pr_20_29_08,Pr_20_29_08_28
Pr_20_29_08,Pr_20_29_08_30
Pr_20_29_08,Pr_20_29_08_32
Pr_20_29_08,Pr_20_29_08_36
Pr_20_29_08,Pr_20_29_08_38
Pr_20_29_08,Pr_20_29_08_42
Pr_20_29_08,Pr_20_29_08_46
Pr_20_29_08,Pr_20_29_08_57
Pr_20_29_08,Pr_20_29_08_66
Pr_20_29_08,Pr_20_29_08_70
Pr_20_29_08,Pr_20_29_08_76
Pr_20_29_08,Pr_20_29_08_78
Pr_20_29_08,Pr_20_29_08_83
Pr_20_29_08,Pr_20_29_08_84
Pr_20_29_08,Pr_20_29_08_85
Pr_20_29_08,Pr_20_29_08_86
Pr_20_29_08,Pr_20_29_08_92
Pr_20_29,Pr_20_29_10
Pr_20_29_10,Pr_20_29_10_11
Pr_20_29_10,Pr_20_29_10_12
Pr_20_29_10,Pr_20_29_10_13
Pr_20_29_10,Pr_20_29_10_14
Pr_20_29_10,Pr_20_29_10_15
Pr_20_29_10,Pr_20_29_10_16
Pr_20_29_10,Pr_20_29_10_21
Pr_20_29_10,Pr_20_29_10_79
Pr_20_29,Pr_20_29_14
Pr_20_29_14,Pr_20_29_14_03
Pr_20_29_14,Pr_20_29_14_07
Pr_20_29_14,Pr_20_29_14_08
Pr_20_29_14,Pr_20_29_14_13
Pr_20_29_14,Pr_20_29_14_14
Pr_20_29_14,Pr_20_29_14_15
Pr_20_29_14,Pr_20_29_14_16
Pr_20_29_14,Pr_20_29_14_17
Pr_20_29_14,Pr_20_29_14_22
Pr_20_29_14,Pr_20_29_14_24
Pr_20_29_14,Pr_20_29_14_28
Pr_20_29_14,Pr_20_29_14_29
Pr_20_29_14,Pr_20_29_14_30
Pr_20_29_14,Pr_20_29_14_31
Pr_20_29_14,Pr_20_29_14_32
Pr_20_29_14,Pr_20_29_14_33
Pr_20_29_14,Pr_20_29_14_34
Pr_20_29_14,Pr_20_29_14_35
Pr_20_29_14,Pr_20_29_14_36
Pr_20_29_14,Pr_20_29_14_40
Pr_20_29_14,Pr_20_29_14_43
Pr_20_29_14,Pr_20_29_14_45
Pr_20_29_14,Pr_20_29_14_50
Pr_20_29_14,Pr_20_29_14_59
Pr_20_29_14,Pr_20_29_14_65
Pr_20_29_14,Pr_20_29_14_68
Pr_20_29_14,Pr_20_29_14_76
Pr_20_29_14,Pr_20_29_14_79
Pr_20_29_14,Pr_20_29_14_80
Pr_20_29_14,Pr_20_29_14_81
Pr_20_29_14,Pr_20_29_14_82
Pr_20_29_14,Pr_20_29_14_83
Pr_20_29_14,Pr_20_29_14_84
Pr_20_29_14,Pr_20_29_14_85
Pr_20_29_14,Pr_20_29_14_86
Pr_20_29_14,Pr_20_29_14_87
Pr_20_29_14,Pr_20_29_14_90
Pr_20_29_14,Pr_20_29_14_92
Pr_20_29_14,Pr_20_29_14_99
Pr_20_29,Pr_20_29_23
Pr_20_29_23,Pr_20_29_23_11
Pr_20_29_23,Pr_20_29_23_12
Pr_20_29_23,Pr_20_29_23_22
Pr_20_29_23,Pr_20_29_23_23
Pr_20_29_23,Pr_20_29_23_30
Pr_20_29_23,Pr_20_29_23_36
Pr_20_29_23,Pr_20_29_23_40
Pr_20_29_23,Pr_20_29_23_50
Pr_20_29_23,Pr_20_29_23_52
Pr_20_29_23,Pr_20_29_23_65
Pr_20_29_23,Pr_20_29_23_80
Pr_20_29_23,Pr_20_29_23_83
Pr_20_29_23,Pr_20_29_23_84
Pr_20_29_23,Pr_20_29_23_92
Pr_20_29,Pr_20_29_29
Pr_20_29_29,Pr_20_29_29_23
Pr_20_29_29,Pr_20_29_29_29
Pr_20_29_29,Pr_20_29_29_62
Pr_20_29_29,Pr_20_29_29_66
Pr_20_29_29,Pr_20_29_29_84
Pr_20_29_29,Pr_20_29_29_96
Pr_20_29,Pr_20_29_30
Pr_20_29_30,Pr_20_29_30_11
Pr_20_29_30,Pr_20_29_30_12
Pr_20_29_30,Pr_20_29_30_24
Pr_20_29_30,Pr_20_29_30_31
