,Swiss_Raw,Swiss_Code,SoldAfterDays,CountEntity,Swiss_Code_Parent,Code,Title,Imagefile,Rank_SoldAfterDays,Rank_CountEntity,Score
100,refrigerator,IfcElectricAppliance.REFRIGERATOR,53.851351351351354,74,IfcElectricAppliance.REFRIGERATOR,,,"[nan, '111828_570x570.jpg', '111499_570x570.jpg', nan, 'sam_9112_570x570.jpg', '110889_570x570.jpg', nan, nan, nan, '2776_2_570x570.jpg', '2741_2_570x570.jpg', '2788_2_570x570.jpg', '112230_570x570.jpg', '2743_1_570x570.jpg', '112388_570x570.jpg', '112366_570x570.jpg', '2781_2_570x570.jpg', '112389_570x570.jpg', '1_%28280%29_570x570.jpg', '2750_1_570x570.jpg', '1_%28291%29_570x570.jpg', '112403_570x570.jpg', '112402_570x570.jpg', '_dsc9586_570x570.jpg', '_dsc9689_570x570.jpg', '_dsc9670_570x570.jpg', '2850-2_570x570.jpg', '2848-2_570x570.jpg', '_dsc9670_%281%29_570x570.jpg', '_dsc9714_570x570.jpg', '_dsc9460_570x570.jpg', '1_%28324%29_570x570.jpg', '_dsc9772_570x570.jpg', '1_%28314%29_570x570.jpg', '1_%28323%29_570x570.jpg', '112566_570x570.jpg', '2869-2_570x570.jpg', '2910-2_570x570.jpg', '112577_570x570.jpg', '112574_570x570.jpg', '2948-2_570x570.jpg', '112070_570x570.jpg', '112069_570x570.jpg', '2965-2_570x570.jpg', '112548_570x570.jpg', '1_%28357%29_570x570.jpg', '_dsc9916_570x570.jpg', '_dsc0375_570x570.jpg', '2969-2_570x570.jpg', '_dsc0053_570x570.jpg', '_dsc9389_570x570.jpg', '_dsc0367_570x570.jpg', '_dsc0417_570x570.jpg', '_dsc0471_570x570.jpg', '112150_570x570.jpg', '_dsc0475_570x570.jpg', '_dsc0484_570x570.jpg', '_dsc0549_570x570.jpg', '1_%28386%29_570x570.jpg', '1_%28387%29_570x570.jpg', 'screenshot2023-05-04091027_570x570.png', '112191_570x570.jpg', '112190_570x570.jpg', '112188_570x570.jpg', '_dsc0567_570x570.jpg', '112061_570x570.jpg', '_dsc0050_570x570.jpg', '112194_570x570.jpg', '_dsc0440_570x570.jpg', '_dsc0848_570x570.jpg', '3026-2_570x570.jpg', '_dsc0801_570x570.jpg', '3023-2_570x570.jpg', '_dsc0742_570x570.jpg', '3019-2_570x570.jpg', '3005-2_570x570.jpg', '3069-2_570x570.jpg', '3070-2_570x570.jpg', '113013_570x570.jpg', '113515_570x570.jpg', '3026-2_570x570.jpg', '3023-2_570x570.jpg', '3005-2_570x570.jpg', 'khlschrank_%281%29_570x570.jpg', '1_%28471%29_570x570.jpg', '3076-2_570x570.jpg', '1_%28524%29_570x570.jpg', 'img_1785_%281%29_570x570.jpg', '113330_570x570.jpg', '_dsc0742_570x570.jpg', '1_%28536%29_570x570.jpg', 'img_0904_570x570.jpg', '1_%28534%29_570x570.jpg', '1_%28515%29_570x570.jpg']",13.0,1.0,14.0
85,dishwasher,IfcElectricAppliance.DISHWASHER,42.84615384615385,26,IfcElectricAppliance.DISHWASHER,,,"['20220131_100900_570x570.jpg', nan, '7e8d6b36-901b-4cd6-83f4-c332fe59fadd_570x570.jpeg', nan, '_dsc9482_570x570.jpg', '_dsc9491_570x570.jpg', '_dsc9572_570x570.jpg', '_dsc9599_570x570.jpg', '_dsc9610_570x570.jpg', '2852-2_570x570.jpg', '_dsc9812_570x570.jpg', '_dsc9984_570x570.jpg', '2943-2_570x570.jpg', '_dsc0113_570x570.jpg', '112034_570x570.jpg', '_dsc0119_570x570.jpg', '_dsc0424_570x570.jpg', '_dsc0431_570x570.jpg', '_dsc0444_570x570.jpg', '_dsc0436_570x570.jpg', ""['https://materiuum.ch/wp-content/uploads/2023/04/2302-5814-a-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2023/04/2302-5814-b-600x800.jpg']"", ""['https://materiuum.ch/wp-content/uploads/2023/04/2202-3396-a-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2023/04/2202-3396-b-600x800.jpg', 'https://materiuum.ch/wp-content/uploads/2023/04/2202-3396-c-600x800.jpg']"", '1_%28379%29_570x570.jpg', '_dsc0487_570x570.jpg', '_dsc0553_570x570.jpg', '_dsc0493_570x570.jpg', '_dsc0825_570x570.jpg', '_dsc0724_570x570.jpg', '113007_570x570.jpg', '_dsc0724_570x570.jpg', '113007_570x570.jpg']",10.0,12.0,22.0
78,Pedestal washbasins,Pr_40_20_96_63,83.3061224489796,49,Pr_40_20,Pr_40_20,Sanitary fittings and accessories,"[nan, 'img_20210226_172633_570x570.jpg', '1_%28122%29_570x570.jpg', '1_%28124%29_570x570.jpg', 'img_6814_570x570.jpg', 'img_6815_570x570.jpg', '105720_1_570x570.jpg', '20170223_083731_570x570.jpg', '07.04.2016-002a_570x570.jpg', '108433_1_570x570.jpg', '106322_1_570x570.jpg', 'img_20220824_1031314_570x570.jpg', '110879_570x570.jpg', '108320_1_570x570.jpg', '1_%28288%29_570x570.jpg', '2932489d-594d-4718-995a-8a067096c48f_570x570.jpg', '2917-2_570x570.jpg', '112338_570x570.jpg', '90017_1_570x570.jpg', '90026_1_570x570.jpg', '90063_1_570x570.jpg', '112350_570x570.jpg', '90068_1_570x570.jpg', '90111_1_570x570.jpg', '90118_1_570x570.jpg', '90153_1_570x570.jpg', '90166_1_570x570.jpg', '91211_1_570x570.jpg', '91552_570x570.jpg', '90109_1_570x570.jpg', '2947-2_570x570.jpg', '109481_1_%281%29_570x570.jpg', '111474_570x570.jpg', '110999_570x570.jpg', '110905_570x570.jpg', '110411_1_570x570.jpg', '111493_570x570.jpg', '111042_570x570.jpg', '111473_570x570.jpg', '111840_570x570.jpg', '109794_1_570x570.jpg', '111476_570x570.jpg', '_dsc0223_570x570.jpg', '_dsc0209_570x570.jpg', '_dsc0215_570x570.jpg', '_dsc0226_570x570.jpg', ""['https://materiuum.ch/wp-content/uploads/2023/04/2302-5794-a-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2023/04/2302-5794-b-600x800.jpg', 'https://materiuum.ch/wp-content/uploads/2023/04/2302-5794-c-600x800.jpg']"", 'image_20230411_174003_570x570.jpg', '_dsc0721_570x570.jpg', '_dsc0721_570x570.jpg', '112994_570x570.jpg', '112993_570x570.jpg', 'waschbeckenx4stetten1_570x570.png', 'antikeshandwaschbecken2_570x570.jpg', '90063_1_570x570.jpg', '90118_1_570x570.jpg', '110999_570x570.jpg']",25.0,6.0,31.0
0,Window walls,Pr_30_59_99,96.64516129032258,62,Pr_30_59,Pr_30_59,Openings and opening component products,"[nan, nan, 'img_3943_570x570.jpg', nan, nan, nan, nan, nan, '1_%2848%29_570x570.jpg', 'hintergrund-horizontal-neu.1_570x570.jpg', '1_570x570.png', '0b982ee9-fd64-4dfb-8042-e748728262ca_570x570.jpeg', 'hintergrund-horizontal_%283%29_570x570.png', '1_%2880%29_570x570.jpg', '1_%2816%29_570x570.png', 'hintergrund-horizontal-neu.2_570x570.jpg', '1a_%281%29_570x570.png', '1a_%282%29_570x570.png', '2628_570x570.jpg', '20200831_151940_570x570.jpg', nan, '1_%28220%29_570x570.jpg', '09.06.2015-011_570x570.jpg', '111789_570x570.jpg', 'img_20220824_0956506_%282%29_570x570.jpg', 'img_20220824_0956506_%283%29_570x570.jpg', '111675_570x570.jpg', '112224_570x570.jpg', nan, 'fenster01_570x570.jpg', 'xd_570x570.jpg', '2807_570x570.jpg', '2801_2_570x570.jpg', 'img_20230109_151749_%281%29_570x570.jpg', '1_%28341%29_570x570.jpg', '112043_570x570.jpg', '1_%28349%29_570x570.jpg', '1_%28350%29_570x570.jpg', '1_%28351%29_570x570.jpg', '1_%28352%29_570x570.jpg', '1_%28353%29_570x570.jpg', '1_%28354%29_570x570.jpg', '1_%28355%29_570x570.jpg', ""['https://materiuum.ch/wp-content/uploads/2023/02/2302-5949-a.jpg', 'https://materiuum.ch/wp-content/uploads/2023/02/2302-5949-b-600x338.jpg', 'https://materiuum.ch/wp-content/uploads/2023/02/2302-5949-c.jpg']"", ""['https://materiuum.ch/wp-content/uploads/2023/02/2302-5950-a.jpg', 'https://materiuum.ch/wp-content/uploads/2023/02/2302-5950-b-600x338.jpg', 'https://materiuum.ch/wp-content/uploads/2023/02/2302-5950-c.jpg']"", ""['https://materiuum.ch/wp-content/uploads/2023/02/2302-5951-a-600x338.jpg', 'https://materiuum.ch/wp-content/uploads/2023/02/2302-5951-b-600x338.jpg', 'https://materiuum.ch/wp-content/uploads/2023/02/2302-5951-c-600x338.jpg']"", nan, '1_%28364%29_570x570.jpg', '1_%28361%29_570x570.jpg', '1_%28360%29_570x570.jpg', '1_%28359%29_570x570.jpg', '1_%28362%29_570x570.jpg', '1_%28363%29_570x570.jpg', '1_%28358%29_570x570.jpg', '1_%28367%29_570x570.jpg', '1_%28369%29_570x570.jpg', '1_%28370%29_570x570.jpg', '1_%28371%29_570x570.jpg', '20230401_115640_570x570.jpg', ""['https://materiuum.ch/wp-content/uploads/2023/04/2302-5824-a-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2023/04/2302-5824-b-600x800.jpg', 'https://materiuum.ch/wp-content/uploads/2023/04/2302-5824-c-600x800.jpg']"", nan, '1_%28396%29_570x570.jpg', nan, '1_%28396%29_570x570.jpg', '1_%28529%29_570x570.jpg', '1_%28525%29_570x570.jpg', '1_%28521%29_570x570.jpg', '20230913_104542_570x570.jpg', 'img_0790_570x570.jpg', 'img_0786_570x570.jpg', 'img_0785_570x570.jpg', 'balkontreneu_570x570.jpg', nan]",33.0,2.0,35.0
120,Domestic cooking equipment,Pr_40_70_24,53.3125,16,Pr_40_70,Pr_40_70,Equipment,"[nan, nan, nan, nan, '_dsc8941_570x570.jpg', '20200618_180022_570x570.jpg', '20220131_100958_570x570.jpg', 'img_20221008_093931_7_570x570.jpg', '1_%28287%29_570x570.jpg', ""['https://materiuum.ch/wp-content/uploads/2022/11/2209-4963-a-1-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2022/11/2209-4963-b-2-600x800.jpg', 'https://materiuum.ch/wp-content/uploads/2022/11/2209-4963-c-2.jpg']"", '1_%28348%29_570x570.jpg', ""['https://materiuum.ch/wp-content/uploads/2023/04/2302-5812-a-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2023/04/2302-5812-b-600x800.jpg', 'https://materiuum.ch/wp-content/uploads/2023/04/2302-5812-c-600x800.jpg']"", 'csm_dsc03209_2a37cbdf69_570x570.jpg', ""['https://materiuum.ch/wp-content/uploads/2023/04/2202-3389-a-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2023/04/2202-3389-b.jpg', 'https://materiuum.ch/wp-content/uploads/2023/04/2202-3389-c-600x800.jpg']"", '112179_2_570x570.jpg', 'c7972074-f8ac-4c4b-bf2e-8f071707fd20_570x570.jpg', '113492_570x570.jpg', '112179_2_570x570.jpg', 'c7972074-f8ac-4c4b-bf2e-8f071707fd20_570x570.jpg', '113492_570x570.jpg', 'c7972074-f8ac-4c4b-bf2e-8f071707fd20_570x570.jpg', 'c7972074-f8ac-4c4b-bf2e-8f071707fd20_570x570.jpg', '1_%28492%29_570x570.jpg', 'img_1214_%281%29_570x570.jpg', 'c7972074-f8ac-4c4b-bf2e-8f071707fd20_570x570.jpg', 'c7972074-f8ac-4c4b-bf2e-8f071707fd20_570x570.jpg']",12.0,24.0,36.0
11,Sprinklers,Pr_70_55_98_84,67.0,19,Pr_70_55,Pr_70_55,Liquid and gas outlet products,"[nan, '1801_570x570.jpg', nan, nan, nan, nan, '1_%28189%29_570x570.jpg', '1_%28190%29_570x570.jpg', nan, nan, '1_%28263%29_570x570.jpg', '1_%28266%29_570x570.jpg', '111518_570x570.jpg', '1_%28243%29_570x570.jpg', '1_%28268%29_570x570.jpg', '1_%28310%29_570x570.jpg', '111970_570x570.jpg', '111915_570x570.jpg', '112084_570x570.jpg', 'spiegelschrank_1_570x570.jpg', '20230703_145800_570x570.jpg', 'led-einbauleuchten-17x17cm-1_570x570.jpg', 'ei30image-5_570x570.jpg', 'img_5045_570x570.jpg']",16.0,20.0,36.0
233,washing machine,IfcElectricAppliance.WASHINGMACHINE,40.46666666666667,15,IfcElectricAppliance.WASHINGMACHINE,,,"[nan, nan, '112239_570x570.jpg', '07.05.2014-001_%281%29_570x570.jpg', '2782_2_570x570.jpg', '111790_570x570.jpg', '1122491_%281%29_570x570.jpg', '1122491_570x570.jpg', '112340_2_570x570.jpg', '20211130_172622_570x570.jpg', '_dsc9605_570x570.jpg', '_dsc9912_570x570.jpg', '112017_570x570.jpg', '112060_570x570.jpg', '113504_570x570.jpg', '112927_570x570.jpg', '1_%28450%29_570x570.jpg', '3086-2_570x570.jpg']",9.0,28.0,37.0
95,tee,IfcCableCarrierFitting.TEE,14.0,12,IfcCableCarrierFitting.TEE,,,"[nan, '2228_1_570x570.jpg', 'aussentreppenobild_%282%29_570x570.jpg', ""['https://materiuum.ch/wp-content/uploads/2022/10/2205-4095-b-79-600x800.jpg', 'https://materiuum.ch/wp-content/uploads/2022/10/2205-4095-a-79-600x800.jpg', 'https://materiuum.ch/wp-content/uploads/2022/10/2205-4095-b-80-600x800.jpg']"", ""['https://materiuum.ch/wp-content/uploads/2023/01/2301-5522-a-600x800.jpg', 'https://materiuum.ch/wp-content/uploads/2023/01/2301-5522-b-600x800.jpg']"", ""['https://materiuum.ch/wp-content/uploads/2022/12/2212-5488-a-600x800.jpg', 'https://materiuum.ch/wp-content/uploads/2022/12/2212-5488-b-600x800.jpg']"", ""['https://materiuum.ch/wp-content/uploads/2022/10/2110-2104-a-83-600x800.jpg']"", ""['https://materiuum.ch/wp-content/uploads/2022/12/2208-4822-a-9-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2022/12/2208-4822-b-9-600x800.jpg']"", ""['https://materiuum.ch/wp-content/uploads/2022/12/2208-4824-a-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2022/12/2208-4824-b-600x800.jpg']"", ""['https://materiuum.ch/wp-content/uploads/2023/02/2201-3021-a-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2023/02/2201-3021-b-600x800.jpg', 'https://materiuum.ch/wp-content/uploads/2023/02/2201-3021-c-600x800.jpg']"", ""['https://materiuum.ch/wp-content/uploads/2023/02/2302-5934-a-600x800.jpg']"", ""['https://materiuum.ch/wp-content/uploads/2023/04/2302-5583-a-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2023/04/2302-5583-b-600x800.jpg', 'https://materiuum.ch/wp-content/uploads/2023/04/2302-5583-c-600x800.jpg']"", '20230427_101513_570x570.jpg', '112972_570x570.jpg', '20230815_114220_570x570.jpg']",2.0,35.0,37.0
121,Glazed structures,Pr_20_65_34,37.0,13,Pr_20_65,Pr_20_65,Prefabricated buildings and structures,"[nan, nan, nan, '_dsc9295_570x570.jpg', '_dsc9115_570x570.jpg', '_dsc9497_570x570.jpg', '_dsc9509_570x570.jpg', '_dsc9561_570x570.jpg', '_dsc9723_570x570.jpg', '_dsc9820_570x570.jpg', '_dsc9825_570x570.jpg', '_dsc9931_570x570.jpg', '_dsc0067_570x570.jpg', '113103_570x570.jpg']",7.0,31.0,38.0
71,balustrade,IfcRailing.BALUSTRADE,72.73684210526316,19,IfcRailing.BALUSTRADE,,,"['20180609_130112_570x570.jpg', nan, nan, nan, nan, 'screenshot2022-06-03144207_570x570.png', 'img_9890_%281%29_570x570.jpg', 'img_20191121_094347_570x570.jpg', 'fensterladen-2flg_%281%29_570x570.jpg', 'fensterladen-2flg_570x570.jpg', '2871-2_570x570.jpg', '2872-2_570x570.jpg', '112075_570x570.jpg', '112076_570x570.jpg', '2973-2_570x570.jpg', '112076_570x570.jpg', '112075_570x570.jpg', nan, nan, nan, nan, '20230708_112651_570x570.jpg']",20.0,20.0,40.0
